country,hdi,gdppc,region,incomegr,pop,cropland,grazing,forestprod,carbon,fish,builtupland,totfootprint,noearths
Serbia,0.74,11855,Other Europe,UM,9.6,0.75,0.01,0.46,1.21,0.03,0.06,2.52,1.5
Sierra Leone,0.36,1400,Africa,LI,5.9,0.44,0.12,0.38,0.04,0.14,0.04,1.16,0.7
Singapore,0.9,74594,Asia-Pacific,HI,5.2,0.58,0.24,0.47,4.41,0.2,0.03,5.93,3.4
Slovakia,0.83,25156,EU - 27,HI,5.4,0.65,0.09,0.74,2.15,0.03,0.12,3.78,2.2
Slovenia,0.87,28753,EU - 27,HI,2.1,0.72,0.18,0.59,2.96,0.04,0.04,4.53,2.6
Solomon Islands,0.49,1730,Asia-Pacific,LI,0.5,0.63,0.09,0.11,0.07,0.89,0.24,2.03,1.2
Somalia,,,Africa,LI,9.9,0.15,0.42,0.52,0.03,0,0.05,1.17,0.7
South Africa,0.65,11910,Africa,UM,52,0.41,0.12,0.26,1.56,0.07,0.04,2.46,1.4
Spain,0.87,31736,EU - 27,HI,46.5,1,0.18,0.21,1.63,0.33,0.06,3.41,2
Sri Lanka,0.74,8241,Asia-Pacific,LM,20.9,0.33,0.01,0.16,0.36,0.26,0.05,1.17,0.7
Suriname,0.7,14463,Latin America,UM,0.5,0.5,0.06,0.45,2.42,0.06,0.08,3.57,2.1
Swaziland,0.53,7239,Africa,LM,1.2,0.34,0.42,0.53,0.65,0.01,0.06,2.01,1.2
Sweden,0.9,41615,EU - 27,HI,9.5,1.44,0.25,1.39,3,0.1,0.33,6.51,3.8
Switzerland,0.91,51578,Other Europe,HI,7.9,0.81,0.21,0.42,3.2,0.06,0.18,4.88,2.8
Syrian Arab Republic,0.66,,Middle East/Central Asia,LM,21.8,0.58,0.09,0.06,0.68,0.01,0.05,1.47,0.9
Tajikistan,0.6,2216,Middle East/Central Asia,LI,7.8,0.41,0.13,0.1,0.1,0,0.07,0.81,0.5
Tanzania,0.48,1637,Africa,LI,46.4,0.39,0.33,0.23,0.1,0.08,0.05,1.18,0.7
Thailand,0.72,12607,Asia-Pacific,UM,66.6,0.5,0.02,0.22,0.99,0.12,0.07,1.92,1.1
Timor-Leste,0.61,9893,Asia-Pacific,LM,1.1,0.16,0.06,0.04,0.04,0.02,0.03,0.35,0.2
Togo,0.47,1273,Africa,LI,6.5,0.34,0.08,0.27,0.18,0.08,0.03,0.98,0.6
Tonga,0.7,4660,Asia-Pacific,LM,0.1,0.7,0.16,0.17,0.99,0.14,0,2.16,1.3
Trinidad and Tobago,0.76,28646,Latin America,HI,1.3,0.42,0.16,0.25,5.03,0.1,0,5.96,3.5
Tunisia,0.72,10235,Africa,UM,10.8,0.69,0.09,0.21,0.69,0.05,0.03,1.76,1
Turkey,0.75,17781,Middle East/Central Asia,UM,73.1,0.88,0.12,0.32,1.27,0.03,0.04,2.66,1.5
Turkmenistan,0.69,10498,Middle East/Central Asia,LM,5.1,0.65,0.42,0.05,2.96,0.01,0.09,4.18,2.4
Uganda,0.48,1597,Africa,LI,35.2,0.37,0.14,0.52,0.06,0.11,0.04,1.24,0.7
Ukraine,0.73,8315,Other Europe,LM,45.8,1.13,0.01,0.16,1.38,0.05,0.08,2.81,1.6
United Arab Emirates,0.82,58917,Middle East/Central Asia,HI,8.7,0.84,0.24,0.43,6.46,0.17,0,8.14,4.7
United Kingdom,0.89,34786,EU - 27,HI,62.7,0.84,0.26,0.48,2.3,0.08,0.19,4.15,2.4
United States of America,0.91,49746,North America,HI,314.9,1.08,0.27,0.67,4.53,0.12,0.09,6.76,3.9
Uruguay,0.78,17723,Latin America,UM,3.4,0.77,1.48,1,0.64,0.07,0.14,4.1,2.4
Uzbekistan,0.65,4455,Middle East/Central Asia,LM,28.2,0.57,0.12,0.09,1.02,0,0.08,1.88,1.1
Venezuela,0.76,17210,Latin America,UM,29.5,0.36,0.63,0.12,1.34,0.08,0.08,2.61,1.5
Viet Nam,0.63,4717,Asia-Pacific,LM,89.9,0.49,0.01,0.19,0.53,0.04,0.1,1.36,0.8
Yemen,0.5,3672,Middle East/Central Asia,LM,23.3,0.27,0.15,0.03,0.28,0.02,0.04,0.79,0.5
Zambia,0.54,3557,Africa,LM,13.6,0.22,0.11,0.33,0.13,0.01,0.04,0.84,0.5
Zimbabwe,0.47,1717,Africa,LI,13.4,0.24,0.31,0.29,0.3,0.01,0.02,1.17,0.7
