"CountryName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","ARR 1990-2015 median","ARR 1990-2000 median","ARR 2000-2015 median","Required ARR median","Change in ARR median","Percentage decline 1990-2015 median","Percentage decline 1990-2000 median","Percentage decline 2000-2015 median"
"Bahamas",107,"BHS",44,"BAH","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,2.65517987418967,4.03339708795851,1.73636839834378,,-2.29702868961473,48.5106382978723,33.1914893617021,22.9299363057325
"Bahrain",51,"BHR",48,"BRN","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,5.24377969551242,6.01797401971718,4.72765014604258,,-1.2903238736746,73.0434782608696,45.2173913043478,50.7936507936508
"Bangladesh",68,"BGD",50,"BAN","Southern Asia","Southern Asia excluding India","Developing regions","","Least developed countries","","South Asia","South Asia","Asia","Developing countries","Least developed countries","","South-East Asia","Lower middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","USAID","Asia","Southern Asia","",1,5.36289497075652,4.90390978606773,5.66888509388238,,0.764975307814657,73.8343771746695,38.7613082811413,57.2727272727273
"Armenia",137,"ARM",51,"ARM","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Lower middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,5.04736074658594,5.03489812275777,5.05566916247138,,0.0207710397136118,71.6867469879518,39.5582329317269,53.156146179402
"Barbados",108,"BRB",52,"BAR","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,1.27940542154069,0.936356050339926,1.5081050023412,,0.571748952001274,27.3743016759776,8.93854748603351,20.2453987730061
"Belgium",170,"BEL",56,"BEL","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,3.56639247713513,5.44727175441672,2.31247295894741,,-3.13479879546931,59,42,29.3103448275862
"Bhutan",69,"BTN",64,"BTN","Southern Asia","Southern Asia excluding India","Developing regions","","Least developed countries","","South Asia","South Asia","Asia","Developing countries","Least developed countries","","South-East Asia","Lower middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Southern Asia","",1,5.60850330534628,5.1858439125756,5.89027623386007,,0.704432321284473,75.3926701570681,40.4637247569185,58.6683417085427
"Bolivia",109,"BOL",68,"BOL","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Lower middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,4.70177888284559,4.3897866543261,4.90977370185858,,0.519987047532481,69.1318327974276,35.5305466237942,52.1197007481297
"Bosnia & Herzegovina",147,"BIH",70,"BHG","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Fragile","Fragile","Fragile","","Europe","Southern Europe","",1,4.88200842510859,6.87697575792381,3.55203020323177,,-3.32494555469204,70.4918032786885,49.7267759562842,41.3043478260869
"Botswana",15,"BWA",72,"BTW","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Southern Africa","",1,0.870495032362448,-4.24954153695649,4.28385274524174,,8.53339428219823,19.5571955719557,-52.9520295202952,47.4065138721351
"Brazil",110,"BRA",76,"BRZ","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,5.24123381656787,6.41853886172395,4.45636378646383,,-1.96217507526012,73.0263157894737,47.3684210526316,48.75
"Belize",111,"BLZ",84,"BZE","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,3.5018749494156,4.59953293392234,2.77010295974444,,-1.8294299741779,58.3333333333333,36.8686868686869,34
"Solomon Islands",88,"SLB",90,"SOL","Oceania","Oceania","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Fragile","Fragile","Fragile","","Oceania","Melanesia","",1,1.38232644541378,1.81817905310128,1.09175804028878,,-0.726421012812495,29.2191435768262,16.624685138539,15.1057401812689
"Brunei",92,"BRN",96,"BRI","South-eastern Asia","South-eastern Asia","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,0.716192925795942,2.60726262463253,-0.544520206761781,,-3.15178283139431,16.3934426229508,22.9508196721311,-8.51063829787233
"Bulgaria",149,"BGR",100,"BUL","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Eastern Europe","",1,3.01508720950552,0.510551708002842,4.68477754384064,,4.1742258358378,52.9411764705882,4.97737556561087,50.4761904761905
"Myanmar",84,"MMR",104,"BUR","South-eastern Asia","South-eastern Asia","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","South-East Asia","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Fragile","Fragile","Fragile","","Asia","South-Eastern Asia","",1,3.15019142392572,2.89199753726552,3.32232068169919,,0.43032314443367,54.5040946314832,25.1137397634213,39.2466585662211
"Burundi",2,"BDI",108,"BRD","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Central Africa","Fragile","Fragile","Fragile","","Africa","Eastern Africa","",1,2.97310803073679,1.2113556412257,4.14760962374419,,2.93625398251849,52.4447031431898,11.4086146682189,46.3206307490144
"Belarus",148,"BLR",112,"BSR","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Eastern Europe","",1,5.13338556746979,1.49143158096636,7.56135489180542,,6.06992331083906,72.289156626506,13.855421686747,67.8321678321678
"Cambodia",85,"KHM",116,"KMP","South-eastern Asia","South-eastern Asia","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","Western Pacific","Low income","East Asia and Pacific","Low income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,5.63135053157542,0.798296016524848,8.85338687494246,,8.05509085841761,75.5328218243819,7.67263427109974,73.4995383194829
"Cameroon",41,"CMR",120,"CAM","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","OIC","Africa","OIC Lower middle income","OIC Middle income","Countdown","Central Africa","Africa","Central Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,1.80421552186429,-0.860447263585348,3.58065737883072,,4.44110464241607,36.304347826087,-8.98550724637682,41.5558510638298
"Canada",171,"CAN",124,"CAN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Americas","High income: OECD","","High income","","Northern America","","More developed regions","More developed regions","","","","","","","","","","","","","","Americas","Northern America","",1,2.10808123874388,2.91706222751506,1.5687605795631,,-1.34830164795197,40.9638554216867,25.3012048192771,20.9677419354839
"Cape Verde",25,"CPV",132,"CVR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,3.75875332035277,5.68828751157505,2.47239719287126,,-3.21589031870379,60.9250398724083,43.3811802232855,30.9859154929577
"Central African Republic",26,"CAF",140,"CAR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Fragile","Fragile","Fragile","","Africa","Middle Africa","",1,1.22006996341957,0.0967841315191634,1.9689271846865,,1.87214305316734,26.2889518413598,0.963172804532571,25.5720823798627
"Sri Lanka",74,"LKA",144,"SRI","Southern Asia","Southern Asia excluding India","Developing regions","","","","South Asia","South Asia","Asia","Developing countries","","","South-East Asia","Lower middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Southern Asia","",1,3.08647518400576,2.6283607386525,3.39188481424127,,0.763524075588769,53.7735849056604,23.1132075471698,39.8773006134969
"Chad",27,"TCD",148,"CHD","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","Central Africa","Africa","Central Africa","Fragile","Fragile","Fragile","","Africa","Middle Africa","",1,1.74585001150325,1.20699680085308,2.10508548527003,,0.898088684416945,35.3681267474371,11.3699906803355,27.0767613038906
"Chile",113,"CHL",152,"CLE","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: OECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,3.43129709349676,5.60925545817486,1.97932485037803,,-3.62993060779683,57.5916230366492,42.9319371727749,25.6880733944954
"China",93,"CHN",156,"CHN","Eastern Asia","","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,6.46011890279951,3.77061916121257,8.25311873052414,,4.48249956931157,80.1115241635688,31.4126394052045,71.0027100271003
"Colombia",114,"COL",170,"COL","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,3.16752808498254,3.35333284334082,3.04365824607702,,-0.309674597263803,54.7008547008547,28.4900284900285,36.6533864541833
"Comoros",3,"COM",174,"COM","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Arab","OIC Low income","","Countdown","Eastern Africa","Africa","Eastern Africa","Fragile","Fragile","Fragile","","Africa","Eastern Africa","",1,2.1273120450163,2.1300329144644,2.1254981320509,,-0.0045347824134998,41.2470023980815,19.1846522781775,27.2997032640949
"Congo",42,"COG",178,"CBR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Fragile","Fragile","Non-fragile","","Africa","Middle Africa","",1,2.92947157485291,-2.6170658604852,6.62716319841165,,9.24422905889685,51.9230769230769,-29.9145299145299,62.9934210526316
"Congo DR",28,"COD",180,"ZAI","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Central Africa","Fragile","Fragile","Fragile","USAID","Africa","Middle Africa","",1,2.561628847723,1.47026874099407,3.28920225220895,,1.81893351121488,47.2922252010724,13.6729222520107,38.944099378882
"Cook Islands",75,"COK",184,"COK","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","","","","","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Polynesia","",1,4.41087628248305,3.73204245889943,4.86343216487214,,1.13138970597271,66.8032786885246,31.1475409836066,51.7857142857143
"Costa Rica",115,"CRI",188,"CTR","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,2.22075094567876,2.62364264467491,1.95215647968133,,-0.671486164993579,42.603550295858,23.0769230769231,25.3846153846154
"Croatia",150,"HRV",191,"CRO","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Southern Europe","",1,4.39444915467244,4.40971796565074,4.38426994735357,,-0.0254480182971708,66.6666666666667,35.6589147286822,48.1927710843374
"Cuba",112,"CUB",192,"CBA","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,3.53206377195713,4.5953232937844,2.82322409073895,,-1.77209920304545,58.6466165413534,36.8421052631579,34.5238095238095
"Cyprus",157,"CYP",196,"CYP","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","Developing countries","","","Europe","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","","","","","Asia","Western Asia","",1,5.65477334123202,5.19875459285909,5.95878584014731,,0.760031247288223,75.6756756756757,40.5405405405405,59.0909090909091
"Czech Republic",162,"CZE",203,"CZE","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Eastern Europe","",1,5.8289843883687,7.93951879681911,4.42196144940176,,-3.51755734741735,76.7123287671233,54.7945205479452,48.4848484848485
"Benin",23,"BEN",204,"BEN","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,2.36007025505515,2.15512574290895,2.49669992981927,,0.341574186910318,44.5682451253482,19.3871866295265,31.2370421561852
"Denmark",172,"DNK",208,"DAN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,3.73315323297091,4.63284678996991,3.1333575283049,,-1.499489261665,60.6741573033708,37.0786516853933,37.5
"Dominica",117,"DMA",212,"DOM","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,-0.85969087267741,1.11225635110224,-2.17432235519718,,-3.28657870629942,-23.9766081871345,10.5263157894737,-38.562091503268
"Dominican Republic",116,"DOM",214,"DMR","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,2.6676646736443,3.76809852347788,1.93404210708858,,-1.8340564163893,48.671096345515,31.3953488372093,25.181598062954
"Ecuador",118,"ECU",218,"ECU","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,3.87440810576866,5.03238776752933,3.10242166459489,,-1.92996610293444,62.0386643233743,39.5430579964851,37.2093023255814
